cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
baseline_sample,Q0142,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0075,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0064,6.586491868035738e-05,ok,4.405630203989441,ok,3
baseline_sample,Q0155,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0096,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0092,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0089,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0078,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0177,6.586491868035738e-05,ok,15660000000.0,alert,6
baseline_sample,Q0074,0.13729441859646566,alert,9.36272452855047,alert,2
baseline_sample,Q0147,0.14886175312958855,alert,9.146257649503333,alert,3
baseline_sample,Q0172,6.586491868035738e-05,ok,6509999999.999999,alert,6
baseline_sample,Q0130,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0072,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0136,0.32154289716587525,alert,20.933868271735932,alert,1
baseline_sample,Q0115,0.31081312631338465,alert,17.55933159235423,alert,1
baseline_sample,Q0065,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0178,6.586491868035738e-05,ok,3.57449676999904,ok,3
baseline_sample,Q0167,0.14857828645710308,alert,10.52826940345075,alert,3
baseline_sample,Q0088,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0090,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0125,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0138,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0163,0.013238872075627291,ok,2.6670314858571063,ok,5
baseline_sample,Q0132,0.32251415256024707,alert,18.885326523435474,alert,1
baseline_sample,Q0086,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0152,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0144,0.14857828645710308,alert,10.52826940345075,alert,3
baseline_sample,Q0150,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0168,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0114,0.32154289716587525,alert,20.933868271735932,alert,1
baseline_sample,Q0174,0.010773974710291945,ok,3.2749223973765775,ok,5
baseline_sample,Q0118,6.586491868035738e-05,ok,15589999999.999998,alert,6
baseline_sample,Q0166,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0176,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0061,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0081,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0165,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0104,0.010773974710291945,ok,3.2749223973765775,ok,5
baseline_sample,Q0146,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0080,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0161,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0180,0.010773974710291945,ok,3.2749223973765775,ok,5
baseline_sample,Q0171,6.586491868035738e-05,ok,15650000000.0,alert,6
baseline_sample,Q0162,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0109,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0073,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0106,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0105,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0094,6.586491868035738e-05,ok,0.5876026151835669,ok,6
baseline_sample,Q0066,6.586491868035738e-05,ok,0.5876026151835669,ok,6
